Test,Name,Source,Profession,Specialty,Benchmark comparison?,Publicly Available?,Questions,Unnamed: 8,Student_score,student_score_sem,Resident_score,resident_score_sem,Staff_score,Staff_score_sem,o1_score,o1_score_sem,4o_score,4o_score_sem,claude_score,claude_score_sem,gemini_score,gemini_score_sem
1,Open Medical SCT,University of Florida,Physician,General Medical,No,Yes,72,,,,,,,,0.697371,0.038734,0.654602,0.040539,0.642528,0.042939,0.610761,0.042358
2,Adelaide SCT,University of Adelaide,Physician,"Medicine, Surgery, Psychiatry, Pediatrics, OB-Gyn",4th and 5th Year Medical Students (Pending),No,102,,,,,,,,0.712009804,0.032986444,0.715196078,0.030375243,0.705882353,0.030072182,0.638480392,0.037772294
